Lang_Id,likely_subtag,LangName,regions,variants,ROD,RODs,Macro,unwritten,obsolete,deprecated,areas,ISO 639-3,confirmed,Date modified,comments
acr-x-cubulco,acr-Latn-GT-x-cubulco,Achi - Cubulco,GT,,02098,00448 02098,,,,,CAM,acr,LE,,
acr-x-rabinal,acr-Latn-GT-x-rabinal,Achi - Rabinal,GT,,00448,00448 02098,,,,,CAM,acr,,,
acs,acs-Latn-BR,Acroá,BR,,,,,1,,,SAM,acs,LE,10-Jan-2018,Extinct
act,act-Latn-NL,Achterhoeks,NL,,,,,,,,WEU,act,LE,12-Jan-2018,
acu,acu-Latn-EC,Achuar-Shiwiar,EC PE,,,,,,,,SAM,acu,LE,9-Jan-2018,
acv,acv-Latn-US,Achumawi,US,,,,,1,,,NAM,acv,LE,9-Jan-2018,
acw,acw-Arab-SA,"Arabic, Hijazi Spoken",AE ER QA SA,,,07100 07102,,,,,EAF WAS,acw,LE,12-Jan-2018,
acx,acx-Arab-OM,"Arabic, Omani Spoken",AE DJ KE KW OM SA TZ YE,,,,,,,,EAF WAS,acx,LE,12-Jan-2018,
acy,acy-Latn-CY,"Arabic, Cypriot Spoken",CY,,,,,,,,WAS,acy,,,https://en.wikipedia.org/wiki/Cypriot_Arabic
acy-Arab,acy-Arab-CY,"Arabic, Cypriot Spoken",CY,,,,,,1,,WAS,acy,,,
acy-Grek,acy-Grek-CY,"Arabic, Cypriot Spoken",CY,,,,,,1,,WAS,acy,,,https://en.wikipedia.org/wiki/Cypriot_Arabic
acz,acz-Latn-SD,Acheron,SD,,,,,,,,NAF,acz,LE,12-Jan-2018,
ada,ada-Latn-GH,Dangme,GH,,,02253 09107 09108 09109 09110,,,,,WAF,ada,CLDR,,
adb,adb-Latn-TL,Atauran,TL,,,,,,,,SEA,adb,LE,12-Jan-2018,
add,add-Latn-CM,Dzodinka,CM NG,,,,,,,,MAF WAF,add,LE,12-Jan-2018,
ade,ade-Latn-TG,Adele,GH TG,,,04919,,,,,WAF,ade,LE,30-Aug-2018,
adf,adf-Arab-OM,"Arabic, Dhofari Spoken",OM,,,,,1,,,WAS,adf,,,
adg,adg-Latn-AU,Andegerebinha,AU,,,,,1,,,ANZ,adg,LE,10-Jan-2018,
adh,adh-Latn-UG,Adhola,UG,,,,,,,,EAF,adh,LE,5-Apr-2018,
adi,adi-Latn-IN,Adi,CN IN,,,00674 00683 02251 02410 06341 06343 06680 06681 20064 20067,,,,,EAS SAS,adi,,,
adi-Tibt,adi-Tibt-CN,"Luoba, Boga'er",CN IN,,,,,,,,EAS SAS,adi,,,
adj,adj-Latn-CI,Adioukrou,CI,,,,,,,,WAF,adj,,,
adl,adl-Latn-IN,"Adi, Galo",IN,,,02409 18925 20063,,,,,SAS,adl,,,
adn,adn-Latn-ID,Adang,ID,,,,,1,,,SEA,adn,,,
ado,ado-Latn-PG,Abu,PG,,,,,,,,MEL,ado,LE,10-Jan-2018,
adp,adp-Tibt-BT,Dzongkha,BT IN NP,,,,dz,,,dz,SAS,dzo,CLDR,,
adq,adq-Latn-GH,Adangbe,GH TG,,,06026,,1,,,WAF,adq,LE,12-Jan-2018,
adr,adr-Latn-ID,Adonara,ID,,,,,1,,,SEA,adr,,,
ads,ads-Zxxx-GH,Adamorobe Sign Language,GH,,,,,,,,WAF,ads,,,
adt,adt-Latn-AU,Adnyamathanha,AU,,,,,1,,,ANZ,adt,LE,10-Jan-2018,
adu,adu-Latn-NG,Aduge,NG,,,,,1,,,WAF,adu,,,
