Lang_Id,likely_subtag,LangName,script,regions,default region,unwritten,not used,areas,ISO 639-3,confirmed,Date modified,comments
ahk-Mymr,ahk-Mymr-MM,Akha,Mymr,MM,MM,,,EAS SEA,ahk,MH,,
ahk-Qaax-x-louma,ahk-Qaax-LA-x-louma,Louma,Qaax,LA,LA,,,SEA,ahk,NMC,,"Needs to be it's own iso code, currently lumpped under Akha"
ahk-Thai,ahk-Thai-TH,Akha,Thai,TH,TH,,,EAS SEA,ahk,MH,,
ahl-Latn,ahl-Latn-TG,Igo,Latn,TG,TG,,,WAF,ahl,,,
ahm-Zyyy,ahm-Zyyy-CI,"Aizi, Mobumrin",Zyyy,CI,CI,1,,WAF,ahm,,,
ahn-Zyyy,ahn-Zyyy-NG,Àhàn,Zyyy,NG,NG,,,WAF,ahn,,,
aho,aho-Ahom-IN,Ahom,Ahom,IN,IN,,,SAS,aho,CLDR,,Extinct
ahp-Zyyy,ahp-Zyyy-CI,"Aizi, Aproumu",Zyyy,CI,CI,1,,WAF,ahp,,,
ahr-Zyyy,ahr-Zyyy-IN,Ahirani,Zyyy,IN,IN,1,,SAS,ahr,,,
ahs-Latn,ahs-Latn-NG,Ashe,Latn,NG,NG,,,WAF,ahs,,,
aht,aht-Latn-US,Ahtena,Latn,US,US,1,,NAM,aht,LE,9-Jan-2018,
aia,aia-Latn-SB,Arosi,Latn,SB,SB,,,MEL,aia,LE,10-Jan-2018,
aib-Zyyy,aib-Zyyy-CN,Ainu,Zyyy,CN,CN,,,EAS,aib,,,
aic,aic-Latn-PG,Ainbai,Latn,PG,PG,1,,MEL,aic,LE,10-Jan-2018,
aid,aid-Latn-AU,Alngith,Latn,AU,AU,1,,ANZ,aid,LE,10-Jan-2018,Extinct
aie,aie-Latn-PG,Amara,Latn,PG,PG,,,MEL,aie,LE,10-Jan-2018,
aif,aif-Latn-PG,Agi,Latn,PG,PG,1,,MEL,aif,LE,10-Jan-2018,
aig-Latn,aig-Latn-AG,Antigua and Barbuda Creole English,Latn,AG AI DM GB KN MF MS SX,AG,,,CAR NEU,aig,,,
aih-Zyyy,aih-Zyyy-CN,Ai-Cham,Zyyy,CN,CN,,,EAS,aih,,,
aii-Syrc,aii-Syrc-IQ,Assyrian Neo-Aramaic,Syrc,AT AM AU AZ BE BR CA CH CY DE GB GE GR IR IT IQ LB NL NZ RU TR SE SY US,IQ,,,ANZ EEU NAM NEU SAM SAS SEU WAS WEU,aii,,,
aij-Hebr,aij-Hebr-IL,Lishanid Noshan,Hebr,IL,IL,,,WAS,aij,,,
aik-Zyyy,aik-Zyyy-NG,Ake,Zyyy,NG,NG,,,WAF,aik,,,
ail,ail-Latn-PG,Aimele,Latn,PG,PG,1,,MEL,ail,LE,10-Jan-2018,
aim-Latn,aim-Latn-IN,Aimol,Latn,IN,IN,,,SAS,aim,,,
ain-Kana,ain-Kana-JP,Ainu,Kana,JP,JP,,,EAS,ain,,,
ain-Latn,ain-Latn-JP,Ainu,Latn,JP,JP,,,EAS,ain,,,
aio-Mymr,aio-Mymr-IN,Aiton,Mymr,IN,IN,,,SAS,aio,,,
aip-Zyyy,aip-Zyyy-ID,Burumakok,Zyyy,ID,ID,,,SEA,aip,,,NMC 40 speakers nearly extinct
aiq,aiq-Qaax-AF,Aimaq,Qaax,AF IR TJ,AF,1,,CAS SAS,aiq,,,
air,air-Qaax-ID,Airoran,Qaax,ID,ID,1,,SEA,air,,,
ais-Zyyy,ais-Zyyy-TW,"Amis, Nataoran",Zyyy,TW,TW,,,EAS,ais,,,
ait,ait-Latn-BR,Arikem,Latn,BR,BR,1,,SAM,ait,LE,10-Jan-2018,Extinct
aiw-Ethi,aiw-Ethi-ET,Aari,Ethi,ET,ET,,,EAF,aiw,,,
aiw-Latn,aiw-Latn-ET,Aari,Latn,ET,ET,,,EAF,aiw,,,
aix,aix-Latn-PG,Aighon,Latn,PG,PG,,,MEL,aix,LE,10-Jan-2018,
aiy,aiy-Latn-CF,Ali,Latn,CF,CF,1,,MAF,aiy,jb,,LE: jb clarified that it will eventually use Latin.
aja,aja-Latn-SS,Aja,Latn,SS,SS,1,,EAF,aja,,,
ajg-Latn,ajg-Latn-BJ,Aja,Latn,BJ TG,BJ,,,WAF,ajg,,,
aji,aji-Latn-NC,Ajië,Latn,NC,NC,,,MEL,aji,LE,10-Jan-2018,
ajn,ajn-Latn-AU,Andajin,Latn,AU,AU,1,,ANZ,ajn,LE,10-Jan-2018,
ajp-Arab,ajp-Arab-JO,"Arabic, South Levantine Spoken",Arab,AR IL JO KW PS QA SA SY,JO,,,SAM WAS,ajp,,,
ajt-Arab,ajt-Arab-TN,"Arabic, Judeo-Tunisian",Arab,ES IL IT TN,TN,,,NAF SEU WAS,ajt,,,
ajt-Hebr,ajt-Hebr-IL,"Arabic, Judeo-Tunisian",Hebr,ES IL IT TN,IL,,1,NAF SEU WAS,ajt,,,
aju-Hebr,aju-Hebr-IL,"Arabic, Judeo-Moroccan",Hebr,CA IL MA,IL,,,NAF NAM WAS,aju,,,
ajw-Zyyy,ajw-Zyyy-NG,Ajawa,Zyyy,NG,NG,,,WAF,ajw,,,Extinct
ajz-Latn,ajz-Latn-IN,Amri Karbi,Latn,IN,IN,,,SAS,ajz,,,LE: not in likely subtags.
ak,ak-Latn-GH,Akan,Latn,CA GB GH LR,GH,,,NAM NEU WAF,aka,CLDR,,
akb-Batk,akb-Batk-ID,Batak Angkola,Batk,ID,ID,,,SEA,akb,,,
akb-Latn,akb-Latn-ID,Batak Angkola,Latn,ID,ID,,,SEA,akb,,,
akc-Latn,akc-Latn-ID,Mpur,Latn,ID,ID,,,SEA,akc,,,
akd-Zyyy,akd-Zyyy-NG,Ukpet-Ehom,Zyyy,NG,NG,,,WAF,akd,,,
ake,ake-Latn-GY,Akawaio,Latn,BR GY VE,GY,,,SAM,ake,LE,9-Jan-2018,
akf-Zyyy,akf-Zyyy-NG,Akpa,Zyyy,NG,NG,,,WAF,akf,,,
akg-Zyyy,akg-Zyyy-ID,Anakalangu,Zyyy,ID,ID,,,SEA,akg,,,
akh,akh-Latn-PG,Angal Heneng,Latn,PG,PG,,,MEL,akh,LE,10-Jan-2018,
aki,aki-Latn-PG,Aiome,Latn,PG,PG,1,,MEL,aki,LE,10-Jan-2018,
akj-Zyyy,akj-Zyyy-IN,Aka-Jeru,Zyyy,IN,IN,,,SAS,akj,,,Extinct
